Rank,Song,Artist,Year,Lyrics
1,Somebody That I Used to Know,Gotye,2012,b' Now and then I think of when we were together Like when you said you felt so happy you could die Told myself that you were right for me But felt so lonely in your company But that was love and it s an ache I still remember You can get addicted to a certain kind of sadness Like resignation to the end always the end So when we found that we could not make sense Well you said that we would still be friends But I ll admit that I was glad it was over But you didn t have to cut me off Make out like it never happened and that we were nothing And I don t even need your love But you treat me like a stranger and that feels so rough No you didn t have to stoop so low Have your friends collect your records and then change your number I guess that I don t need that though Now you re just somebody that I used to know Now you re just somebody that I used to know Now you re just somebody that I used to know Now and then I think of all the times you screwed me over But had me believing it was always something that I d done But I don t wanna live that way Reading into every word you say You said that you could let it go And I wouldn t catch you hung up on somebody that you used to know But you didn t have to cut me off Make out like it never happened and that we were nothing And I don t even need your love But you treat me like a stranger and that feels so rough No you didn t have to stoop so low Have your friends collect your records and then change your number I guess that I don t need that though Now you re just somebody that I used to know Somebody Somebody Somebody Somebody Somebody'
2,Call Me Maybe,Carly Rae Jepsen,2012,b' I threw a wish in the well Don t ask me I ll never tell I looked to you as it fell And now you re in my way I trade my soul for a wish Pennies and dimes for a kiss I wasn t looking for this But now you re in my way Your stare was holding Ripped jeans skin was showing Hot night wind was blowing Where you think you re going baby Hey I just met you and this is crazy But here s my number so call me maybe It s hard to look right at you baby But here s my number so call me maybe Hey I just met you and this is crazy But here s my number so call me maybe And all the other boys try to chase me But here s my number so call me maybe You took your time with the call I took no time with the fall You gave me nothing at all But still you re in my way I beg and borrow and steal At first sight and it s real I didn t know I would feel it But it s in my way Your stare was holding Ripped jeans skin was showing Hot night wind was blowing Where you think you re going baby Hey I just met you and this is crazy But here s my number so call me maybe It s hard to look right at you baby But here s my number so call me maybe Hey I just met you and this is crazy But here s my number so call me maybe And all the other boys try to chase me But here s my number so call me maybe Before you came into my life I missed you so bad I missed you so bad I missed you so so bad Before you came into my life I missed you so bad And you should know that I missed you so so bad It s hard to look right at you baby But here s my number so call me maybe Hey I just met you and this is crazy But here s my number so call me maybe And all the other boys try to chase me But here s my number so call me maybe Before you came into my life I missed you so bad I missed you so bad I missed you so so bad Before you came into my life I missed you so bad And you should know that I missed you so so bad So call me maybe'
3,We Are Young,Fun,2012,b' Give me a second I I need to get my story straight My friends are in the bathroom Getting higher than the Empire State My lover she s waiting for me just across the bar My seat s been taken by some sunglasses asking bout a scar And I know I gave it to you months ago I know you re trying to forget it But between the drinks and subtle things The holes in my apologies You know I m trying hard to take it back So if by the time the bar closes And you feel like falling down I ll carry you home Tonight We are young So let s set the world on fire We can burn brighter Than the sun Tonight We are young So let s set the world on fire We can burn brighter Than the sun Now I know that I m not All that you got I guess that I I just thought Maybe we could find new ways to fall apart But our friends are back So let s raise the cup Cause I found someone to carry me home Tonight We are young So let s set the world on fire We can burn brighter Than the sun Tonight We are young So let s set the world on fire We can burn brighter Than the sun Carry me home tonight Just carry me home tonight Carry me home tonight Just carry me home tonight The moon is on my side I have no reason to run So will someone come and carry me home tonight The angels never arrived But I can hear the choir So will someone come and carry me home Tonight We are young So let s set the world on fire We can burn brighter Than the sun Tonight We are young So let s set the world on fire We can burn brighter Than the sun So if by the time the bar closes And you feel like falling down I ll carry you home tonight'
4,Payphone,Maroon 5,2012,b' I m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it s all wrong Where are the plans we made for two Yeah I I know it s hard to remember The people we used to be It s even harder to picture That you re not here next to me You say it s too late to make it But is it too late to try And in our time that you wasted All of our bridges burned down I ve wasted my nights You turned out the lights Now I m paralyzed Still stuck in that time when we called it love But even the sun sets in paradise I m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it s all wrong Where are the plans we made for two If happy ever after did exist I would still be holding you like this All those fairytales are full of shit One more fucking love song I ll be sick oh You turned your back on tomorrow Cause you forgot yesterday I gave you my love to borrow But you just gave it away You can t expect me to be fine I don t expect you to care I know I said it before But all of our bridges burned down I ve wasted my nights You turned out the lights Now I m paralyzed Still stuck in that time when we called it love But even the sun sets in paradise I m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it s all wrong Where are the plans we made for two If happy ever after s did exist I would still be holding you like this And all those fairytales are full of shit One more fucking love song I ll be sick Now I m at a payphone Uh Man fuck that shit I ll be out spending all this money While you re sitting round wondering Why it wasn t you who came up from nothing Made it from the bottom Now when you see me I m stuntin And all of my cars start with the push of a button Telling me I changed since I blew up or whatever you call it Switched the number to my phone so you never could call it Don t need my name on my shirt you can tell that I m ballin Swish what a shame coulda got picked Had a really good game but you missed your last shot So you talk about who you see at the top Or what you could ve saw but sad to say it s over for Phantom pulled up valet open doors Wished I d go away got what you was looking for Now it s me who they want So you can go take that little piece of shit with you I m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it s all wrong Where are the plans we made for two If happy ever after did exist I would still be holding you like this And all these fairytales are full of shit One more fucking love song I ll be sick Now I m at a payphone'
5,Lights,Ellie Goulding,2012,b' I had a way then Losing it all on my own I had a heart then But the queen has been overthrown And I m not sleeping now The dark is too hard to beat And I m not keeping up The strength I need to push me You show the lights that stop me turn to stone You shine it when I m alone And so I tell myself that I ll be strong And dreaming when they re gone Cause they re calling calling calling me home Calling calling calling home You show the lights that stop me turn to stone You shine it when I m alone Noises I play within my head Touch my own skin And hope that I m still breathing And I think back to when My brother and my sister slept In an unlocked place The only time I feel safe You show the lights that stop me turn to stone You shine it when I m alone And so I tell myself that I ll be strong And dreaming when they re gone Cause they re calling calling calling me home Calling calling calling home You show the lights that stop me turn to stone You shine it when I m alone Home home Home home You show the lights that stop me turn to stone You shine it when I m alone And so I tell myself that I ll be strong And dreaming when they re gone Cause they re calling calling calling me home Calling calling calling home You show the lights that stop me turn to stone You shine it when I m alone Home home Home home'
6,Glad You Came,The Wanted,2012,b' The sun goes down the stars come out And all that counts is here and now My universe will never be the same I m glad you came You cast a spell on me spell on me You hit me like the sky fell on me fell on me And I decided you look well on me well on me So let s go somewhere no one else can see You and me Turn the lights out now Now I ll take you by the hand Hand you another drink Drink it if you can Can you spend a little time Time is slipping away Away from us so stay Stay with me I can make Make you glad you came The sun goes down the stars come out And all that counts is here and now My universe will never be the same I m glad you came I m glad you came You cast a spell on me spell on me You hit me like the sky fell on me fell on me And I decided you look well on me well on me So let s go somewhere no one else can see You and me Turn the lights out now Now I ll take you by the hand Hand you another drink Drink it if you can Can you spend a little time Time is slipping away Away from us so stay Stay with me I can make Make you glad you came The sun goes down the stars come out And all that counts is here and now My universe will never be the same I m glad you came I m glad you came I m glad you came So glad you came I m glad you came I m glad you came The sun goes down the stars come out And all that counts is here and now My universe will never be the same I m glad you came I m glad you came'
7,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,b' You know the bed feels warmer Sleepin here alone You know I dream in color And do the things I want You think you got the best of me Think you ve had the last laugh Bet you think that everything good is gone Think you left me broken down Think that I ll come running back Baby you don t know me cause you re dead wrong What doesn t kill you makes you stronger Stand a little taller Doesn t mean I m lonely when I m alone What doesn t kill you makes a fighter Footsteps even lighter Doesn t mean I m over cause you re gone What doesn t kill you makes you stronger stronger Just me myself and I What doesn t kill you makes you stronger Stand a little taller Doesn t mean I m lonely when I m alone You heard that I was starting over with someone new They told you I was moving on and over you You didn t think that I d come back I d come back swinging You tried to break me but you see What doesn t kill you makes you stronger Stand a little taller Doesn t mean I m lonely when I m alone What doesn t kill you makes a fighter Footsteps even lighter Doesn t mean I m over cause you re gone What doesn t kill you makes you stronger stronger Just me myself and I What doesn t kill you makes you stronger Stand a little taller Doesn t mean I m lonely when I m alone Thanks to you I got a new thing started Thanks to you I m not the broken hearted Thanks to you I m finally thinkin bout me You know in the end the day you left was just my beginning In the end What doesn t kill you makes you stronger Stand a little taller Doesn t mean I m lonely when I m alone What doesn t kill you makes a fighter Footsteps even lighter Doesn t mean I m over cause you re gone What doesn t kill you makes you stronger stronger Just me myself and I What doesn t kill you makes you stronger Stand a little taller Doesn t mean I m lonely when I m alone What doesn t kill you makes you stronger stronger Just me myself and I What doesn t kill you makes you stronger Stand a little taller Doesn t mean I m lonely when I m alone When I m alone'
8,We Found Love,Rihanna,2012,b' Yellow diamonds in the light And we re standing side by side As your shadow crosses mine What it takes to come alive It s the way I m feeling I just can t deny But I ve gotta let it go We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place Shine a light through an open door Love and life I will divide Turn away cause I need you more Feel the heartbeat in my mind It s the way I m feeling I just can t deny But I ve gotta let it go We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place Yellow diamonds in the light And we re standing side by side As your shadow crosses mine We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place'
9,Starships,Nicki Minaj,2012,b' Let s go to the beach each Let s go get a wave They say what they gonna say Have a drink clink found the Bud Light Bad bitches like me is hard to come by The patron own let s go get it on The zone on yes I m in the zone Is it two three Leave a good tip I ma blow off my money and don t give two shits oh oh I m on the floor floor I love to dance So give me more more til I can t stand Get on the floor floor Like it s your last chance If you want more more Then here I am Starships were meant to fly Hands up and touch the sky Can t stop cause we re so high Let s do this one more time Starships were meant to fly Hands up and touch the sky Let s do this one last time Can t stop Jump in my hoopty hoopty hoop I own that And I ain t payin my rent this month I owe that But fuck who you want and fuck who you like Dancehall life there s no end in sight Twinkle twinkle little star Now everybody let me hear you say ray ray ray Now spend all your money cause today pay day And if you re a G you a G G G My name is Onika you can call me Nicki Get on the floor floor Like it s your last chance If you want more more Then here I am Starships were meant to fly Hands up and touch the sky Can t stop cause we re so high Let s do this one more time Starships were meant to fly Hands up and touch the sky Let s do this one last time Can t stop Starships were meant to fly Hands up and touch the sky Can t stop cause we re so high Let s do this one more time Starships were meant to fly Hands up and touch the sky Let s do this one last time Can t stop '
10,What Makes You Beautiful,One Direction,2012,b' You re insecure don t know what for You re turning heads when you walk through the door Don t need makeup to cover up Being the way that you are is enough Everyone else in the room can see it Everyone else but you Baby you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground it ain t hard to tell You don t know oh oh you don t know you re beautiful If only you saw what I can see You ll understand why I want you so desperately Right now I m looking at you and I can t believe You don t know you don t know you re beautiful That s what makes you beautiful So c come on you got it wrong To prove I m right I put it in a so o ong I don t know why you re being shy And turn away when I look into your e e eyes Everyone else in the room can see it Everyone else but you Baby you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground it ain t hard to tell You don t know oh oh you don t know you re beautiful If only you saw what I can see You ll understand why I want you so desperately Right now I m looking at you and I can t believe You don t know you don t know you re beautiful That s what makes you beautiful Nana nana nana nana nana nana nana nana nana nana nana nana Baby you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground it ain t hard to tell You don t know oh oh you don t know you re beautiful Baby you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground it ain t hard to tell You don t know oh oh you don t know you re beautiful If only you saw what I can see You ll understand why I want you so desperately desperately Right now I m looking at you and I can t believe You don t know you don t know you re beautiful That s what makes you beautiful '
11,Wild Ones,Flo Rida,2012,b' Hey I heard you are a wild one Oooh If I took you home it d be a home run Show me how you do I wanna shut down the club With you Hey I heard you like the wild ones Oooh I like crazy foolish stupid Party going wild fist pumping music I might lose it Glass to the roof That s how we does it I don t care tonight She don t care we like Almost dared the right five Ready to get live Ain t no surprise Take me so high Jump and nose dive Surfing the crowd Oooh ooohh Said I gotta be the man I m the head of my band Mic check one two oooh Shut em down in the club while the playboy does And they all get loose loose After bottle we all get bent then again tomorrow Gotta break loose cause that s the motto Club shut down a hundred super models Hey I heard you are a wild one Oooh If I took you home it d be a home run Show me how you do I wanna shut down the club With you Hey I heard you like the wild ones Oooh Party rocker fa sho stopper More Chambull number one club popper Got a hangover like too much vodka Can t see me with ten binoculars So cool No doubt by the end of the night Got the clothes coming off Then I make that move Somehow some way gotta raise the roof roof All black shades when the sun come through Uh oh it s on like everything goes Wild out baby til the freak it shows What happens to that body it s a private show Stays right here pri private show I like em untamed don t tell me high pain Tolerance bottoms up when the champagne My life call my hanna to be explain Do you busy with the bail we get insane Hey I heard you are a wild one Oooh If I took you home it d be a home run Show me how you do I wanna shut down the club With you Hey I heard you like the wild ones Oooh I am a wild one Break me in Saddle me up and lets begin I am a wild one Tame me now Running with wolves And I m on the prowl Show you another side of me A side you would never thought you would see Tear up that body Dominate you til you ve had enough I can t lie The wilds don t lie Hey I heard you are a wild one Oooh If I took you home it d be a home run Show me how you do I wanna shut down the club With you Hey I heard you like the wild ones Oooh I am a wild one Break me in Saddle me up and lets begin I am a wild one Tame me now Running with wolves And I m on the prowl'
