Rank,Song,Artist,Year,Lyrics
1,"Love Yourself",Justin Bieber,2016,b"For all the times that you rained on my parade\nAnd all the clubs you get in using my name\nYou think you broke my heart oh girl for goodness sake\nYou think I'm cryin' on my own well I ain't\nAnd I didn't wanna write a song\n'Cause I didn't want anyone thinking I still care\nI don't but you still hit my phone up\nAnd baby I'll be movin' on\nAnd I think you should be somethin'\nI don't wanna hold back\nMaybe you should know that\nMy mama don't like you and she likes everyone\nAnd I never like to admit that I was wrong\nAnd I've been so caught up in my job didn't see what's going on\nBut now I know I'm better sleeping on my own\n'Cause if you like the way you look that much\nOh baby you should go and love yourself\nAnd if you think that I'm still holdin' on to somethin'\nYou should go and love yourself\nBut when you told me that you hated my friends\nThe only problem was with you and not them\nAnd every time you told me my opinion was wrong\nAnd tried to make me forget where I came from\nAnd I didn't wanna write a song\n'Cause I didn't want anyone thinking I still care\nI don't but you still hit my phone up\nAnd baby I'll be movin' on\nAnd I think you should be somethin'\nI don't wanna hold back\nMaybe you should know that\nMy mama don't like you and she likes everyone\nAnd I never like to admit that I was wrong\nAnd I've been so caught up in my job didn't see what's going on\nBut now I know I'm better sleeping on my own\n'Cause if you like the way you look that much\nOh baby you should go and love yourself\nAnd if you think that I'm still holdin' on to somethin'\nYou should go and love yourself\nFor all the times that you made me feel small\nI fell in love now I feel nothin' at all\nI never felt so low and I was vulnerable\nWas I a fool to let you break down my walls?\n'Cause if you like the way you look that much\nOh baby you should go and love yourself\nAnd if you think that I'm still holdin' on to somethin'\nYou should go and love yourself\n'Cause if you like the way you look that much\nOh baby you should go and love yourself\nAnd if you think that I'm still holdin' on to somethin'\nYou should go and love yourself"
2,"Sorry",Justin Bieber,2016,b"You gotta go and get angry at all of my honesty\nYou know I try but I don't do too well with apologies\nI hope I don't run out of time could someone call a referee?\nCause I just need one more shot at forgiveness\nI know you know that I made those mistakes maybe once or twice\nBy once or twice I mean maybe a couple a hundred times\nSo let me oh let me redeem oh redeem oh myself tonight\nCause I just need one more shot at second chances\nYeah is it too late now to say sorry?\nCause I'm missing more than just your body\nIs it too late now to say sorry?\nYeah I know that I let you down\nIs it too late to say I'm sorry now?\nI'm sorry yeah\nSorry yeah\nSorry\nYeah I know that I let you down\nIs it too late to say I'm sorry now?\nI'll take every single piece of the blame if you want me to\nBut you know that there is no innocent one in this game for two\nI'll go I'll go and then you go you go out and spill the truth\nCan we both say the words and forget this?\nIs it too late now to say sorry?\nCause I'm missing more than just your body\nIs it too late now to say sorry?\nYeah I know that I let you down\nIs it too late to say I'm sorry now?\nI'm not just trying to get you back on me\nCause I'm missing more than just your body\nIs it too late now to say sorry?\nYeah I know that I let you down\nIs it too late to say I'm sorry now?\nI'm sorry yeah\nSorry oh\nSorry\nYeah I know that I let you down\nIs it too late to say I'm sorry now?\nI'm sorry yeah\nSorry oh\nSorry\nYeah I know that I let you down\nIs it too late to say I'm sorry now?"
3,"One Dance",Drake,2016,b"Baby I like your style\nGrips on your waist front way back way\nYou know that I don't play\nStreets not safe but I never run away\nEven when I'm away\nOti oti\nThere's never much love when we go OT\nI pray to make it back in one piece\nI pray I pray\nThat's why I need a one dance\nGot a Hennessy in my hand\nOne more time 'fore I go\nHigher powers taking a hold on me\nI need a one dance\nGot a Hennessy in my hand\nOne more time 'fore I go\nHigher powers taking a hold on me\nBaby I like your style\nStrength and guidance\nAll that I'm wishing for my friends\nNobody makes it from my ends\nI had to bust up the silence\nYou know you gotta stick by me\nSoon as you see the text reply me\nI don't wanna spend time fighting\nWe've got no time\nAnd that's why I need a one dance\nGot a Hennessy in my hand\nOne more time 'fore I go\nHigher powers taking a hold on me\nI need a one dance\nGot a Hennessy in my hand\nOne more time 'fore I go\nHigher powers taking a hold on me\nGot a pretty girl and she love me long time\nWine it wine it very long time\nOh yeah very long time\nBack up back up back up and wine it\nBack up back up and wine it girl\nBack up back up back up and wine it\nOh yeah very long time\nBack up back up and wine it girl\nTell me\nI need to know where do you wanna go?\nCause if you're down I'll take it slow\nMake you lose control\nWhere where where\nWhere where where where\nOh yeah very long time\nWhere where where\nBack up back up and wine it girl\nWhere where where where\nCause if you're down\nBack up back up and\nCause if you're down\nBack up back up and\nCause if you're down\nBack up back up and\nI need a one dance\nGot a Hennessy in my hand\nOne more time 'fore I go\nHigher powers taking a hold on me\nI need a one dance\nGot a Hennessy in my hand\nOne more time 'fore I go\nHigher powers taking a hold on me"
4,"Work",Rihanna,2016,b"Work work work work work work\nHe said me haffi\nWork work work work work work!\nHe see me do mi\nDirt dirt dirt dirt dirt dirt!\nSo me put in\nWork work work work work work\nWhen you ah guh\nLearn learn learn learn learn\nMeh nuh cyar if him\nHurt hurt hurt hurt hurting\nDry! ...Me a desert him\nNuh time to have you lurking\nHim ah go act like he nuh like it\nYou know I dealt with you the nicest\nNuh body touch me you nuh righteous\nNuh badda text me in a crisis\nI believed all of your dreams adoration\nYou took my heart and my keys and my patience\nYou took my heart on my sleeve for decoration\nYou mistaken my love I brought for you for foundation\nAll that I wanted from you was to give me\nSomething that I never had\nSomething that you've never seen\nSomething that you've never been!\nMmmmm!\nBut I wake up and act like nothing's wrong\nJust get ready fi...\nWork work work work work work\nHe said me haffi\nWork work work work work work!\nHe see me do mi\nDirt dirt dirt dirt dirt dirt!\nSo me put in\nWork work work work work work\nNer ner ner ner ner ner!\nWhen yuh ago learn learn learn learn learn learn!\nBefore the tables turn turn turn turn turn turn!\nBeg you something please\nBaby don't you leave\nDon\xe2\x80\x99t leave me stuck here in the streets uh huh\nIf I get another chance to\nI will never no never neglect you\nI mean who am I to hold your past against you?\nI just hope that it gets to you\nI hope that you see this through\nI hope that you see this true\nWhat can I say?\nPlease recognize I'm tryin' babe!!!\nI have to\nWork work work work work work\nHe said me haffi\nWork work work work work work!\nHe see me do mi\nDirt dirt dirt dirt dirt dirt!\nSo me put in\nWork work work work work work\nWhen you ah guh\nLearn learn learn learn learn\nMeh nuh cyar if him\nHurt hurt hurt hurt hurting\nYeah okay\nYou need to get done done done done at work come over\nWe just need to slow the motion\nDon't give that away to no one\nLong distance I need you\nWhen I see potential I just gotta see it through\nIf you had a twin I would still choose you\nI don't wanna rush into it if it's too soon\nBut I know you need to get done done done done\nIf you come over\nSorry if I'm way less friendly\nI got niggas tryna end me oh\nI spilled all my emotions tonight I\xe2\x80\x99m sorry\nRollin' rollin' rollin' rollin' rollin'\nHow many more shots until you're rollin'?\nWe just need a face to face\nYou could pick the time and the place\nYou spent some time away\nNow you need to forward and give me all the...\nWork work work work work work\nHe said me haffi\nWork work work work work work\nHe se me do mi\nDirt dirt dirt dirt dirt dirt!\nSo me put in\nWork work work work work work\nWhen you ah guh\nLearn learn learn learn learn\nMeh nuh cyar if him\nHurt hurt hurt hurt hurting\nMmmmm mmmmm\nMmmmm mmmmm\nWork work work work work work\nMmmmm mmmmm"
5,"Stressed Out",Twenty One Pilots,2016,b'I wish I found some better sounds no one\'s ever heard\nI wish I had a better voice that sang some better words\nI wish I found some chords in an order that is new\nI wish I didn\'t have to rhyme every time I sang\nI was told when I get older all my fears would shrink\nBut now I\'m insecure and I care what people think\nMy name\'s Blurryface and I care what you think\nMy name\'s Blurryface and I care what you think\nWish we could turn back time to the good old days\nWhen our momma sang us to sleep but now we\'re stressed out\nWish we could turn back time to the good old days\nWhen our momma sang us to sleep but now we\'re stressed out\nWe\'re stressed out\nSometimes a certain smell will take me back to when I was young\nHow come I\'m never able to identify where it\'s coming from?\nI\'d make a candle out of it if I ever found it\nTry to sell it never sell out of it I\'d probably only sell one\nIt\'d be to my brother \'cause we have the same nose\nSame clothes home grown a stone\'s throw from a creek we used to roam\nBut it would remind us of when nothing really mattered\nOut of student loans and tree house homes we all would take the latter\nMy name\'s Blurryface and I care what you think\nMy name\'s Blurryface and I care what you think\nWish we could turn back time to the good old days\nWhen our momma sang us to sleep but now we\'re stressed out\nWish we could turn back time to the good old days\nWhen our momma sang us to sleep but now we\'re stressed out\nUsed to play pretend give each other different names\nWe would build a rocket ship and then we\'d fly it far away\nUsed to dream of outer space but now they\'re laughin\' at our face\nSayin\' "wake up you need to make money!" yeah\nUsed to play pretend give each other different names\nWe would build a rocket ship and then we\'d fly it far away\nUsed to dream of outer space but now they\'re laughin\' at our face\nSayin\' "wake up you need to make money!" yeah\nWish we could turn back time to the good old days\nWhen our momma sang us to sleep but now we\'re stressed out\nWish we could turn back time to the good old days\nWhen our momma sang us to sleep but now we\'re stressed out\nWe used to play pretend used to play pretend bunny\nWe used to play pretend wake up you need the money\nUsed to play pretend used to play pretend bunny\nWe used to play pretend wake up you need the money\nUsed to play pretend give each other different names\nWe would build a rocket ship and then we\'d fly it far away\nUsed to dream of outer space but now they\'re laughin\' at our face\nSayin\' "wake up you need to make money!" yeah'
6,"Panda",Desiigner,2016,b"This what they all been waitin' for\nI guess so\nThey been waitin\xe2\x80\x99 for this shit for a long time didn't they\nI'ma give it everythin\xe2\x80\x99 I got\nAyo Dougie park that X6 around the corner\nAyy I'm just feelin' my vibe right now\nI'm feelin' myself\nPanda Panda\nPanda Panda Panda Panda Panda\nI got broads in Atlanta\nTwistin' dope lean and the Fanta\nCredit cards and the scammers\nHittin' off licks in the bando\nBlack X6 Phantom\nWhite X6 look like a panda\nGoin' out like I\xe2\x80\x99m Montana\nHundred killas hundred hammers\nBlack X6 Phantom\nWhite X6 panda\nPockets swole Danny\nSellin\xe2\x80\x99 bar candy\nMan I'm the macho like Randy\nThe choppa go Oscar for Grammy\nBitch nigga pull up ya panty\nHope you killas understand me\nI got broads in Atlanta\nTwistin\xe2\x80\x99 dope lean and the Fanta\nCredit cards and the scammers\nHittin' off licks in the bando\nBlack X6 Phantom\nWhite X6 look like a panda\nGoin' out like I'm Montana\nHundred killas hundred hammers\nBlack X6 Phantom\nWhite X6 panda\nPockets swole Danny\nSellin\xe2\x80\x99 bar candy\nMan I'm the macho like Randy\nThe choppa go Oscar for Grammy\nBitch nigga pull up ya panty\nHope you killas understand me\nHey\nPanda Panda\nPanda Panda Panda Panda Panda Panda Panda Panda\nI got broads in Atlanta\nTwistin' dope lean and shit sippin' Fanta\nCredit cards and the scammers\nWake up Versace shit life Desiigner\nWhole bunch of lavish shit\nThey be askin' 'round town who be clappin' shit\nI be pullin' up stuff in the Phantom ship\nI got plenty of stuff of Bugatti whip look how I drive this shit\nBlack X6 Phantom\nWhite X6 killin' on camera\nPop a Perc I can't stand up\nGorilla they come and kill you with bananas\nFour fillas they finna pull up in the Phantom\nKnow niggas they come and kill you on the camera\nBig Rollie it dancin' bigger than a Pandie\nGo Oscar for Grammy bitch pull up ya panty\nFill up I'ma flip it I got bitches pull up and they get it\nI got niggas that's countin' for digits\nSay you make you a lot of new money\nKnow some killas pull off and they in the Wraith\nCTD pull up in the killa Bape\nCall up Phillip-Phillip gon' fill the bank\nNiggas up in the bank we gon' drill the bank\nFuck we gon' kill the bank get it\nI got broads yea I get it\nI get cards yea I shitted\nThis how I live it\nDid it all for a ticket\nNow Flex drop bombs when he spin it\nAnd Bobby gon' trend it\nJeff The Don doin' business\nZana Ray fuckin' up shit and she doin' her business\nI be gettin' to the chicken\nCountin' to the chicken\nAnd all of my niggas gon' split it\nPanda Panda\nPanda Panda Panda Panda Panda\nI got broads in Atlanta\nTwistin' dope lean and the Fanta\nCredit cards and the scammers\nHittin' off licks in the bando\nBlack X6 Phantom\nWhite X6 look like a panda\nGoin' out like I'm Montana\nHundred killas hundred hammers\nBlack X6 Phantom\nWhite X6 panda\nPockets swole Danny\nSellin' bar candy\nMan I'm the macho like Randy\nThe choppa go Oscar for Grammy\nBitch nigga pull up ya panty\nHope you killas understand me\nI got broads in Atlanta\nTwistin' dope lean and the Fanta\nCredit cards and the scammers\nHittin' off licks in the bando\nBlack X6 Phantom\nWhite X6 look like a panda\nGoin' out like I\xe2\x80\x99m Montana\nHundred killas hundred hammers\nBlack X6 Phantom\nWhite X6 panda\nPockets swole Danny\nSellin' bar candy\nMan I'm the macho like Randy\nThe choppa go Oscar for Grammy\nBitch nigga pull up ya panty\nHope you killas understand me\nPanda Panda\nPanda Panda Panda Panda Panda"
7,"Hello",Adele,2016,b"Hello it's me\nI was wondering if after all these years you'd like to meet\nTo go over everything\nThey say that time's supposed to heal ya but I ain't done much healing\nHello can you hear me?\nI'm in California dreaming about who we used to be\nWhen we were younger and free\nI've forgotten how it felt before the world fell at our feet\nThere's such a difference between us\nAnd a million miles\nHello from the other side\nI must've called a thousand times\nTo tell you I'm sorry for everything that I've done\nBut when I call you never seem to be home\nHello from the outside\nAt least I can say that I've tried\nTo tell you I'm sorry for breaking your heart\nBut it don't matter it clearly doesn't tear you apart anymore\nHello how are you?\nIt's so typical of me to talk about myself I'm sorry\nI hope that you're well\nDid you ever make it out of that town where nothing ever happened?\nIt's no secret that the both of us\nAre running out of time\nSo hello from the other side\nI must've called a thousand times\nTo tell you I'm sorry for everything that I've done\nBut when I call you never seem to be home\nHello from the outside\nAt least I can say that I've tried\nTo tell you I'm sorry for breaking your heart\nBut it don't matter it clearly doesn't tear you apart anymore\nOoh anymore\nOoh anymore\nOoh anymore\nAnymore\nHello from the other side\nI must've called a thousand times\nTo tell you I'm sorry for everything that I've done\nBut when I call you never seem to be home\nHello from the outside\nAt least I can say that I've tried\nTo tell you I'm sorry for breaking your heart\nBut it don't matter it clearly doesn't tear you apart anymore"
8,"Don't Let Me Down",The Chainsmokers,2016,b"Crashing hit a wall\nRight now I need a miracle\nHurry up now I need a miracle\nStranded reaching out\nI call your name but you're not around\nI say your name but you're not around\nI need you I need you I need you right now\nYeah I need you right now\nSo don't let me don't let me don't let me down\nI think I'm losing my mind now\nIt's in my head darling I hope\nThat you'll be here when I need you the most\nSo don't let me don't let me don't let me down\nD-don't let me down\nDon't let me down\nDon't let me down down down\nDon't let me down\nDon't let me down down down\nR-r-running out of time\nI really thought you were on my side\nBut now there's nobody by my side\nI need you I need you I need you right now\nYeah I need you right now\nSo don't let me don't let me don't let me down\nI think I'm losing my mind now\nIt's in my head darling I hope\nThat you'll be here when I need you the most\nSo don't let me don't let me don't let me down\nD-don't let me down\nDon't let me down\nDon't let me down down down\nDon't let me down down down\nDon't let me down down down\nDon't let me down\nDon't let me down down down\nOoh I think I'm losing my mind now yeah\nOoh I think I'm losing my mind now yeah\nI need you I need you I need you right now\nYeah I need you right now\nSo don't let me don't let me don't let me down\nI think I'm losing my mind now\nIt's in my head darling I hope\nThat you'll be here when I need you the most\nSo don't let me don't let me don't let me down\nDon't let me down\nYeah don't let me down\nYeah don't let me down\nDon't let me down oh no\nSay don't let me down\nDon't let me down no-o\nDon't let me down\nDon't let me down down down"
9,"Can't Stop the Feeling!",Justin Timberlake,2016,b"I got this feeling inside my bones\nIt goes electric wavey when I turn it on\nAll through my city all through my home\nWe're flying up no ceiling when we in our zone\nI got that sunshine in my pocket\nGot that good soul in my feet\nI feel that hot blood in my body when it drops\nI can't take my eyes up off it moving so phenomenally\nRoom on lock the way we rock it so don't stop\nAnd under the lights when everything goes\nNowhere to hide when I'm getting you close\nWhen we move well you already know\nSo just imagine just imagine just imagine\nNothing I can see but you when you dance dance dance\nA feeling good good creeping up on you\nSo just dance dance dance come on\nAll those things I shouldn't do\nBut you dance dance dance\nAnd ain't nobody leaving soon so keep dancing\nI can't stop the feeling\nSo just dance dance dance\nI can't stop the feeling\nSo just dance dance dance \nOoh it's something magical\nIt's in the air it's in my blood it's rushing on\nI don't need no reason don't need control\nI fly so high no ceiling when I'm in my zone\n'Cause I got that sunshine in my pocket\nGot that good soul in my feet\nI feel that hot blood in my body when it drops\nI can't take my eyes up off it moving so phenomenally\nRoom on lock the way we rock it so don't stop\nAnd under the lights when everything goes\nNowhere to hide when I'm getting you close\nWhen we move well you already know\nSo just imagine just imagine just imagine\nNothing I can see but you when you dance dance dance\nA feeling good good creeping up on you\nSo just dance dance dance come on\nAll those things I shouldn't do\nBut you dance dance dance\nAnd ain't nobody leaving soon so keep dancing\nI can't stop the feeling\nSo just dance dance dance\nI can't stop the feeling\nSo just dance dance dance \nI can't stop the feeling\nSo just dance dance dance\nI can't stop the feeling\nSo keep dancing \nI can't stop the I can't stop the\nI can't stop the I can't stop the\nI can't stop the feeling\nNothing I can see but you when you dance dance dance\nFeeling good good creeping up on you\nSo just dance dance dance come on\nAll those things I shouldn't do\nBut you dance dance dance\nAnd ain't nobody leaving soon so keep dancing\nEverybody sing\nGot this feeling in my body\nGot this feeling in my body\nWanna see you move your body\nGot this feeling in my body come on\nBreak it down\nGot this feeling in my body\nCan't stop the feeling\nGot this feeling in my body come on"
10,"Closer",The Chainsmokers,2016,b"Hey I was doing just fine before I met you\nI drink too much\nAnd that's an issue but I'm okay\nHey you tell your friends\nIt was nice to meet them\nBut I hope I never see them again\nI know it breaks your heart\nMoved to the city in a broke-down car\nAnd four years no calls\nNow you're lookin' pretty in a hotel bar\nAnd I-I-I can't stop\nNo I-I-I can't stop\nSo baby pull me closer\nIn the backseat of your Rover\nThat I know you can't afford\nBite that tattoo on your shoulder\nPull the sheets right off the corner\nOf the mattress that you stole\nFrom your roommate back in Boulder\nWe ain't ever getting older\nWe ain't ever getting older\nWe ain't ever getting older\nYou look as good as the day I met you\nI forget just why I left you I was insane\nStay and play that Blink-182 song\nThat we beat to death in Tucson okay\nI know it breaks your heart\nMoved to the city in a broke-down car\nAnd four years no call\nNow I'm lookin' pretty in a hotel bar\nAnd I-I-I can't stop\nNo I-I-I can't stop\nSo baby pull me closer\nIn the backseat of your Rover\nThat I know you can't afford\nBite that tattoo on your shoulder\nPull the sheets right off the corner\nOf the mattress that you stole\nFrom your roommate back in Boulder\nWe ain't ever getting older\nWe ain't ever getting older\nWe ain't ever getting older\nSo baby pull me closer\nIn the backseat of your Rover\nThat I know you can't afford\nBite that tattoo on your shoulder\nPull the sheets right off the corner\nOf the mattress that you stole\nFrom your roommate back in Boulder\nWe ain't ever getting older\nWe ain't ever getting older\nWe ain't ever getting older\nWe ain't ever getting older\nWe ain't ever getting older"
