Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
1,Love Yourself,Justin Bieber,2016,baby;much;way;wrong;times;phone;girl;movin;anyone;song;heart;everyone;goodness;better;mama;job;opinion;vulnerable;fool;clubs,'cause;only;way;goodness;baby;much;time;small;own;girl;heart;nothin';movin;everyone;mama;fool;name;low;opinion;friends,times;parade;goodness;clubs;name;'cause;heart;girl;way;baby;love;movin;song;anyone;only;mama;everyone;phone;fool;time,baby;much;way;wrong;times;phone;girl;movin;anyone;song;heart;everyone;goodness;better;mama;job;opinion;vulnerable;fool;clubs
2,Sorry,Justin Bieber,2016,sorry;middle;boy;nah;hands;fuck;good;face;hell;becky;good;high;suck;deuces;hallway;balls;note;eyes;night;tear,good;good;sorry;good;sorry;hell;balls;middle;hands;fucking;back;sorry;nah;fuck;deuces;boy;boppers;hallway;note;alright,sorry;hell;nah;middle;hell;balls;boy;headed;club;good;watch;fuck;hands;deuces;good;today;good;cups;suck;face,sorry;middle;boy;hands;fuck;nah;face;high;good;hell;deuces;suck;sorry;balls;becky;good;toast;enough;hallway;tear
3,One Dance,Drake,2016,hennessy;hold;hand;higher;dance;time;style;baby;nobody;friends;waist;pretty;wine;guidance;streets;safe;ends;oti;much;silence,more;long;waist;higher;time;oti;style;style;much;hand;hold;way;dance;baby;hennessy;pretty;control;slow;ends;guidance,style;front;baby;style;more;higher;way;long;time;waist;hold;oti;hand;dance;guidance;much;hennessy;streets;pretty;friends,hennessy;dance;hand;hold;higher;time;style;long;baby;waist;nobody;friends;streets;safe;pretty;guidance;style;wine;ends;oti
4,Work,Rihanna,2016,nuh;meh;something;hurt;sorry;hurt;nuh;heart;learn;turn;beg;face;sleeve;decoration;righteous;keys;patience;wrong;baby;nothing,mmmmm;work;work;dirt;turn;work;hurt;mmmmm;sorry;nicest;nuh;rollin;nuh;one;nuh;hurt;many;mmmmm;heart;dreams,work;mmmmm;hurt;mmmmm;hurt;nuh;nicest;learn;nuh;nuh;ready;mi;meh;ner;nothing;sorry;rollin;heart;something;dreams,nuh;meh;hurt;hurt;something;sorry;nuh;heart;rollin;learn;emotions;turn;desert;face;beg;sleeve;righteous;decoration;time;keys
5,Stressed Out,Twenty One Pilots,2016,time;pretend;good;momma;name;blurryface;wish;money;wake;laughin;face;better;outer;rocket;throw;tree;latter;student;stone;order,same;good;other;tree;better;better;pretend;certain;face;better;pretend;student;rocket;outer;time;name;young;laughin;wish;money,better;better;good;chords;one;order;time;momma;other;wish;name;tree;pretend;blurryface;pretend;same;same;rocket;certain;face,time;pretend;good;momma;name;blurryface;wish;money;wake;better;laughin;face;outer;rocket;one;throw;tree;latter;student;order
6,Panda,Desiigner,2016,panda;shit;killas;grammy;fanta;oscar;broads;atlanta;dope;scammers;choppa;randy;panty;phantom;macho;bar;bank;licks;stuff;phantom,panda;panda;panda;hammers;bando;black;phantom;panda;hammers;panda;don;m;panda;x6;montana;versace;fanta;phantom;lavish;grammy,phantom;hammers;panda;panda;x6;montana;fanta;versace;lavish;shit;bar;shit;phantom;phantom;long;atlanta;ayo;scammers;danny;grammy,panda;shit;killas;grammy;oscar;fanta;broads;atlanta;dope;choppa;panty;scammers;randy;phantom;macho;bar;bank;licks;stuff;danny
7,Hello,Adele,2016,sorry;everything;time;least;outside;ooh;heart;free;younger;anymore;nothing;feet;town;world;difference;miles;secret;california;much;typical,other;much;times;sorry;everything;world;ooh;difference;secret;nothing;town;least;outside;free;anymore;feet;miles;heart;younger;time,other;much;everything;times;ooh;time;years;world;outside;difference;heart;anymore;miles;feet;town;nothing;secret;california,sorry;everything;time;least;outside;ooh;heart;free;younger;anymore;nothing;feet;town;world;difference;miles;secret;california;much;typical
8,Don't Let Me Down,The Chainsmokers,2016,mind;side;head;miracle;nobody;wall;name;crashing;time;ooh;say,r;miracle;mind;side;time;head;wall;crashing;nobody;name;ooh;o;say;d,miracle;crashing;wall;name;mind;head;r;time;side;nobody;ooh;d;say;o,mind;side;head;miracle;nobody;wall;name;crashing;time;ooh;say
9,Can't Stop the Feeling!,Justin Timberlake,2016,feeling;body;dance;dance;got;hot;feeling;good;pocket;nobody;sunshine;ceiling;feet;things;zone;lights;everything;room;way;eyes,dance;feeling;dance;good;dance;feeling;feeling;good;body;body;hot;electric;ceiling;something;zone;pocket;sunshine;got;everything;lights,dance;dance;feeling;good;feeling;dance;good;body;electric;body;hot;bones;got;ceiling;pocket;sunshine;feet;city;zone;blood,feeling;body;dance;dance;got;hot;feeling;good;pocket;feet;nobody;sunshine;ceiling;things;zone;lights;everything;dance;room;way
10,Closer,The Chainsmokers,2016,older;tattoo;shoulder;bite;sheets;corner;mattress;roommate;boulder;rover;backseat;broke;car;baby;years;city;heart;hotel;song;death,hotel;car;broke;older;sheets;heart;roommate;city;friends;okay;mattress;bite;corner;shoulder;years;rover;song;blink;boulder;baby,friends;issue;hotel;broke;car;city;sheets;heart;years;roommate;bite;mattress;corner;shoulder;rover;baby;boulder;backseat;calls;tattoo,older;tattoo;shoulder;bite;sheets;corner;mattress;roommate;boulder;rover;backseat;broke;car;baby;years;city;heart;hotel;song;death
