Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1,Love Yourself,Justin Bieber,2016,joy,0.0,16.666666666666668,16.666666666666668,0.0,33.333333333333336,0.0,16.666666666666668,16.666666666666668
2,Sorry,Justin Bieber,2016,joy,7.142857142857143,14.285714285714286,14.285714285714286,7.142857142857143,21.428571428571427,7.142857142857143,14.285714285714286,14.285714285714286
3,One Dance,Drake,2016,joy,0.0,27.272727272727273,0.0,0.0,36.36363636363637,0.0,0.0,36.36363636363637
4,Work,Rihanna,2016,sadness,25.0,8.333333333333334,8.333333333333334,25.0,0.0,33.333333333333336,0.0,0.0
5,Stressed Out,Twenty One Pilots,2016,anticipation,17.647058823529413,23.529411764705884,5.882352941176471,0.0,17.647058823529413,0.0,17.647058823529413,17.647058823529413
6,Panda,Desiigner,2016,anger,25.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0
7,Hello,Adele,2016,anticipation,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
8,Don't Let Me Down,The Chainsmokers,2016,anticipation,0.0,40.0,0.0,0.0,20.0,0.0,20.0,20.0
9,Can't Stop the Feeling!,Justin Timberlake,2016,joy,10.714285714285714,10.714285714285714,7.142857142857143,7.142857142857143,25.0,7.142857142857143,10.714285714285714,21.428571428571427
10,Closer,The Chainsmokers,2016,sadness,9.090909090909092,9.090909090909092,9.090909090909092,18.181818181818183,9.090909090909092,27.272727272727273,9.090909090909092,9.090909090909092
11,Cheap Thrills,Sia,2016,joy,12.5,25.0,0.0,6.25,31.25,0.0,6.25,18.75
12,7 Years,Lukas Graham,2016,sadness,15.384615384615385,7.6923076923076925,15.384615384615385,15.384615384615385,15.384615384615385,23.076923076923077,0.0,7.6923076923076925
13,Needed Me,Rihanna,2016,anger,23.529411764705884,11.764705882352942,11.764705882352942,11.764705882352942,23.529411764705884,5.882352941176471,5.882352941176471,5.882352941176471
14,My House,Flo Rida,2016,joy,9.090909090909092,18.181818181818183,0.0,9.090909090909092,36.36363636363637,9.090909090909092,0.0,18.181818181818183
15,I Took a Pill in Ibiza,Mike Posner,2016,joy,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
16,Work from Home,Fifth Harmony,2016,joy,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
17,This Is What You Came For,Calvin Harris,2016,anger,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0
18,Cake by the Ocean,DNCE,2016,joy,0.0,22.22222222222222,0.0,0.0,33.333333333333336,11.11111111111111,11.11111111111111,22.22222222222222
19,Me Myself & I,G-Eazy,2016,joy,5.882352941176471,23.529411764705884,0.0,5.882352941176471,29.41176470588235,5.882352941176471,11.764705882352942,17.647058823529413
20,Ride,Twenty One Pilots,2016,anticipation,0.0,40.0,0.0,0.0,30.0,0.0,10.0,20.0
21,Heathens,Twenty One Pilots,2016,anger,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0.0,14.285714285714286,14.285714285714286,14.285714285714286
22,Pillowtalk,Zayn,2016,fear,16.666666666666668,0.0,16.666666666666668,50.0,0.0,16.666666666666668,0.0,0.0
23,Stitches,Shawn Mendes,2016,anger,15.789473684210526,15.789473684210526,5.2631578947368425,10.526315789473685,15.789473684210526,15.789473684210526,5.2631578947368425,15.789473684210526
24,Hotline Bling,Drake,2016,joy,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,27.272727272727273,9.090909090909092,9.090909090909092,18.181818181818183
25,Cold Water,Major Lazer,2016,anticipation,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Send My Love (To Your New Lover),Adele,2016,anger,33.333333333333336,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0
27,Roses,The Chainsmokers,2016,joy,8.333333333333334,16.666666666666668,0.0,8.333333333333334,33.333333333333336,8.333333333333334,8.333333333333334,16.666666666666668
28,Treat You Better,Shawn Mendes,2016,joy,0.0,14.285714285714286,0.0,0.0,42.857142857142854,0.0,0.0,42.857142857142854
29,Too Good,Drake,2016,anticipation,0.0,30.0,0.0,0.0,30.0,0.0,10.0,30.0
30,Low Life,Future,2016,anger,28.571428571428573,7.142857142857143,14.285714285714286,14.285714285714286,7.142857142857143,14.285714285714286,7.142857142857143,7.142857142857143
31,What Do You Mean?,Justin Bieber,2016,anticipation,0.0,40.0,0.0,0.0,40.0,0.0,0.0,20.0
32,The Hills,The Weeknd,2016,trust,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,66.66666666666667
33,Just Like Fire,Pink,2016,fear,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
34,Broccoli,DRAM,2016,anger,25.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0
35,Don't,Bryson Tiller,2016,joy,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
36,Dangerous Woman,Ariana Grande,2016,trust,0.0,11.11111111111111,0.0,22.22222222222222,22.22222222222222,11.11111111111111,0.0,33.333333333333336
37,Jumpman,Drake,2016,joy,0.0,0.0,0.0,20.0,40.0,0.0,0.0,40.0
38,I Hate U I Love U,Gnash,2016,anticipation,8.333333333333334,25.0,8.333333333333334,0.0,25.0,0.0,16.666666666666668,16.666666666666668
39,Here,Alessia Cara,2016,sadness,0.0,20.0,20.0,0.0,20.0,40.0,0.0,0.0
40,Same Old Love,Selena Gomez,2016,joy,0.0,12.5,12.5,0.0,37.5,12.5,0.0,25.0
41,Controlla,Drake,2016,disgust,11.11111111111111,11.11111111111111,22.22222222222222,0.0,11.11111111111111,11.11111111111111,11.11111111111111,22.22222222222222
42,Like I'm Gonna Lose You,Meghan Trainor,2016,anticipation,12.5,25.0,0.0,12.5,12.5,25.0,0.0,12.5
43,One Call Away,Charlie Puth,2016,joy,0.0,9.090909090909092,0.0,0.0,36.36363636363637,0.0,27.272727272727273,27.272727272727273
44,Let It Go,James Bay,2016,fear,20.0,20.0,0.0,40.0,0.0,20.0,0.0,0.0
45,No,Meghan Trainor,2016,disgust,0.0,0.0,50.0,0.0,25.0,0.0,0.0,25.0
46,Never Forget You,Zara Larsson,2016,anticipation,12.5,25.0,0.0,25.0,12.5,12.5,0.0,12.5
47,Let Me Love You,DJ Snake,2016,joy,5.882352941176471,17.647058823529413,5.882352941176471,5.882352941176471,23.529411764705884,5.882352941176471,17.647058823529413,17.647058823529413
48,Don't Mind,Kent Jones,2016,anticipation,0.0,37.5,0.0,0.0,12.5,0.0,12.5,37.5
