Year,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral
1965,5.682247650010809,13.873183468578207,3.92686429068008,4.159422375869743,24.398934471960793,5.449986855250013,7.691626283073651,10.197924882135409,24.619809722441296
1966,5.789716145992677,15.90237032019931,4.708848273887691,6.054023128007359,20.393306747157563,8.752634233228529,7.139930179651222,13.790630230897058,17.468540740978575
1967,3.700045745500291,13.570489390453734,4.851428857667717,6.103612008246589,25.572315137823157,6.143305760061555,6.033531976045345,13.526305591813609,20.498965532387984
1968,5.387590168186617,12.093732131839484,5.70638083270768,6.211298306412668,24.295413681944606,6.435953553418961,6.709890055478293,13.474495176610228,19.685246093401457
1969,4.43156912134019,13.266585523606631,4.07247659535989,5.974354694439191,26.679588054910177,4.487760487416335,8.65821067541339,13.301690318414277,19.127764529099913
1970,4.8825772756655095,16.23364160349454,4.438733602998307,7.438279612544317,22.176060687678337,8.024884674149382,6.028934790699496,12.70110632831221,18.075781424457887
1971,5.553490237950944,13.714101452319541,6.261593240789224,6.498592247059892,21.41837491979781,6.74365882519399,6.576149764926072,13.272144886625606,19.961894425336897
1972,5.126257786474505,13.537506243219278,5.33995527498817,7.670242430642973,20.402236721146352,9.74408683582929,4.913924492654174,13.460781826711587,19.805008388333654
1973,4.356442648726953,17.447259930916438,4.533158939638922,7.707420272109189,20.299898231744887,5.974265942459743,8.51348784891767,14.409637691385175,16.75842849410102
1974,5.3777606131664415,14.694492695003365,4.298650691280994,7.858589411149178,24.007231534472925,6.91555997632248,7.006499269776853,13.919099673887262,15.92211613494049
1975,4.63196798718986,14.767358415366424,3.6619458591932026,5.675536297547002,25.13297424342326,7.464628167788184,6.7871059246926,13.367449827807876,18.511033276991565
1976,4.143870714590564,16.559568238748994,3.358901071624599,4.950301263208613,25.67003734302726,5.596503593694031,7.320097918909815,13.517883001878872,18.88283685431723
1977,6.3232498920794855,12.767618474107255,4.080004457505973,6.979186587282404,24.076563639177337,8.87042308813079,6.9423900336574675,14.038330445243721,15.922233382815548
1978,4.815807043198347,14.261684716249933,4.467887812670422,6.650153807545111,21.718499712847535,9.062950382950383,9.244835104509018,12.738040377496901,17.040141042532348
1979,6.5733597070284375,14.835327722672929,3.9321052915093153,6.8553309220878855,25.238777270201414,8.368263474571528,5.900256889653174,12.46120684441118,15.835371877864128
1980,6.100182127813707,14.663885091516672,2.9356586396060074,7.204818646266013,24.0913066465698,7.4134596397754295,5.0227780990938875,11.998834863966444,20.56907624539204
1981,6.290708757872656,15.310121972449586,3.843824937853458,8.64652821543712,20.462194658531082,7.3094612862649235,7.699071450244167,13.610864010291724,16.827224711055273
1982,6.045047706686984,14.764331373963161,3.990607669790805,8.197959698115719,24.59441296631851,7.820272673698234,6.958625325676849,11.966794707936094,15.661947877813626
1983,7.927772014811138,15.976018041056973,4.7508551012632045,7.261569118216082,20.679013269898903,5.547854942380694,7.240341540228959,14.996293869546516,15.620282102597514
1984,4.5199169352467035,17.685608360742048,3.935253282401232,8.230138515343503,21.35070753831894,7.07827047844873,7.507950061425995,11.888080560094817,17.804074267978006
1985,5.8397031387882175,14.312524710869864,4.242102104228191,8.421214835198851,22.389591304410093,6.5739999011695565,7.640990538846362,14.285607494978654,16.294265971510207
1986,7.312332977193658,13.458030342550462,3.9730301933475296,10.365657681098856,21.386367077195253,7.958274986680559,6.6849675064071326,12.557214886936247,16.304124348590285
1987,6.0217500255322225,14.65679071936348,3.100708205755922,7.487201271328468,22.896588400999224,6.147715922858753,5.892874735464309,15.029703299481943,18.76666741921566
1988,5.734726211270194,15.234329485877904,3.9193376782346023,7.64797350499537,23.802429737506372,6.564138664764533,8.67438073118176,13.083011725704717,15.33967226046453
1989,4.897043745727957,15.143657251270033,3.0451127819548875,6.65223795627931,27.324179579818676,5.5917030964023455,7.744184856496886,18.24864749911742,11.35323323293248
1990,7.736894651205123,15.328578241317166,4.938013956736193,7.6437970195626015,23.535811824316326,6.7819834676174695,5.5819311190895515,13.666614285080767,14.786375435074785
1991,5.157377344877346,15.153648214530566,3.5747582972582976,6.355793226381462,24.695937167407763,6.574091186591185,4.699774245362479,16.88745705275117,16.901163264839727
1992,5.456887609742971,15.22686981603222,5.186254633739153,6.859207966096513,23.521280562253438,7.295297856598168,4.8261392200700985,17.980681707615016,13.647380627852414
1993,8.087057647053895,14.090066580995858,5.522059678758241,7.389961429153662,21.4095625433513,7.095826433021577,6.026370430206544,15.536899709506448,14.842195547952468
