Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1,Love Yourself,Justin Bieber,2016,joy,0.0,25.0,8.333333333333334,8.333333333333334,33.333333333333336,0.0,16.666666666666668,8.333333333333334
2,Sorry,Justin Bieber,2016,anticipation,8.695652173913043,17.391304347826086,13.043478260869565,13.043478260869565,13.043478260869565,8.695652173913043,13.043478260869565,13.043478260869565
3,One Dance,Drake,2016,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336
4,Work,Rihanna,2016,anger,28.571428571428573,14.285714285714286,0.0,28.571428571428573,0.0,28.571428571428573,0.0,0.0
5,Stressed Out,Twenty One Pilots,2016,anticipation,16.666666666666668,25.0,8.333333333333334,0.0,16.666666666666668,0.0,16.666666666666668,16.666666666666668
6,Panda,Desiigner,2016,fear,25.0,12.5,25.0,37.5,0.0,0.0,0.0,0.0
7,Hello,Adele,2016,anticipation,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
8,Don't Let Me Down,The Chainsmokers,2016,anticipation,0.0,40.0,0.0,0.0,20.0,0.0,20.0,20.0
9,Can't Stop the Feeling!,Justin Timberlake,2016,joy,8.823529411764707,11.764705882352942,5.882352941176471,5.882352941176471,26.470588235294116,5.882352941176471,14.705882352941176,20.58823529411765
10,Closer,The Chainsmokers,2016,trust,0.0,16.666666666666668,0.0,16.666666666666668,16.666666666666668,16.666666666666668,0.0,33.333333333333336
11,Cheap Thrills,Sia,2016,joy,13.333333333333334,20.0,0.0,6.666666666666667,33.333333333333336,0.0,6.666666666666667,20.0
12,7 Years,Lukas Graham,2016,anger,33.333333333333336,0.0,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668
13,Needed Me,Rihanna,2016,anger,29.41176470588235,11.764705882352942,11.764705882352942,11.764705882352942,23.529411764705884,5.882352941176471,0.0,5.882352941176471
14,My House,Flo Rida,2016,joy,0.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0
15,I Took a Pill in Ibiza,Mike Posner,2016,trust,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,66.66666666666667
16,Work from Home,Fifth Harmony,2016,joy,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
17,This Is What You Came For,Calvin Harris,2016,anger,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0
18,Cake by the Ocean,DNCE,2016,joy,0.0,14.285714285714286,14.285714285714286,0.0,42.857142857142854,14.285714285714286,0.0,14.285714285714286
19,Me Myself & I,G-Eazy,2016,anticipation,7.142857142857143,21.428571428571427,7.142857142857143,7.142857142857143,21.428571428571427,7.142857142857143,14.285714285714286,14.285714285714286
20,Ride,Twenty One Pilots,2016,anticipation,0.0,40.0,0.0,0.0,30.0,0.0,10.0,20.0
21,Heathens,Twenty One Pilots,2016,disgust,12.5,12.5,25.0,12.5,0.0,12.5,12.5,12.5
22,Pillowtalk,Zayn,2016,fear,14.285714285714286,14.285714285714286,0.0,42.857142857142854,0.0,14.285714285714286,0.0,14.285714285714286
23,Stitches,Shawn Mendes,2016,anger,16.666666666666668,16.666666666666668,8.333333333333334,8.333333333333334,16.666666666666668,8.333333333333334,8.333333333333334,16.666666666666668
24,Hotline Bling,Drake,2016,joy,0.0,12.5,0.0,0.0,37.5,12.5,12.5,25.0
25,Cold Water,Major Lazer,2016,anticipation,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Send My Love (To Your New Lover),Adele,2016,anger,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
27,Roses,The Chainsmokers,2016,joy,9.090909090909092,18.181818181818183,0.0,9.090909090909092,27.272727272727273,9.090909090909092,9.090909090909092,18.181818181818183
28,Treat You Better,Shawn Mendes,2016,joy,0.0,14.285714285714286,0.0,0.0,42.857142857142854,0.0,0.0,42.857142857142854
29,Too Good,Drake,2016,anticipation,0.0,28.571428571428573,0.0,0.0,28.571428571428573,14.285714285714286,0.0,28.571428571428573
30,Low Life,Future,2016,anger,20.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0
31,What Do You Mean?,Justin Bieber,2016,anticipation,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0
32,The Hills,The Weeknd,2016,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
33,Just Like Fire,Pink,2016,fear,14.285714285714286,14.285714285714286,0.0,71.42857142857143,0.0,0.0,0.0,0.0
34,Broccoli,DRAM,2016,disgust,20.0,0.0,40.0,0.0,20.0,0.0,0.0,20.0
35,Don't,Bryson Tiller,2016,joy,0.0,20.0,0.0,10.0,40.0,0.0,20.0,10.0
36,Dangerous Woman,Ariana Grande,2016,anger,30.76923076923077,7.6923076923076925,15.384615384615385,15.384615384615385,7.6923076923076925,7.6923076923076925,0.0,15.384615384615385
37,Jumpman,Drake,2016,joy,7.142857142857143,21.428571428571427,0.0,14.285714285714286,28.571428571428573,0.0,14.285714285714286,14.285714285714286
38,I Hate U I Love U,Gnash,2016,anger,18.181818181818183,18.181818181818183,18.181818181818183,9.090909090909092,18.181818181818183,9.090909090909092,9.090909090909092,0.0
39,Here,Alessia Cara,2016,disgust,0.0,0.0,33.333333333333336,0.0,33.333333333333336,33.333333333333336,0.0,0.0
40,Same Old Love,Selena Gomez,2016,joy,0.0,28.571428571428573,0.0,0.0,42.857142857142854,0.0,0.0,28.571428571428573
41,Controlla,Drake,2016,anticipation,10.0,20.0,10.0,10.0,20.0,0.0,10.0,20.0
42,Like I'm Gonna Lose You,Meghan Trainor,2016,anticipation,14.285714285714286,28.571428571428573,0.0,14.285714285714286,14.285714285714286,28.571428571428573,0.0,0.0
43,One Call Away,Charlie Puth,2016,joy,0.0,8.333333333333334,0.0,0.0,41.666666666666664,0.0,25.0,25.0
44,Let It Go,James Bay,2016,anticipation,16.666666666666668,33.333333333333336,0.0,33.333333333333336,0.0,16.666666666666668,0.0,0.0
45,No,Meghan Trainor,2016,disgust,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0
46,Never Forget You,Zara Larsson,2016,fear,20.0,20.0,0.0,40.0,0.0,20.0,0.0,0.0
47,Let Me Love You,DJ Snake,2016,joy,6.666666666666667,13.333333333333334,6.666666666666667,6.666666666666667,33.333333333333336,6.666666666666667,13.333333333333334,13.333333333333334
48,Don't Mind,Kent Jones,2016,trust,0.0,27.272727272727273,0.0,0.0,27.272727272727273,0.0,9.090909090909092,36.36363636363637
49,H.O.L.Y.,Florida Georgia Line,2016,joy,5.555555555555555,22.22222222222222,0.0,5.555555555555555,27.77777777777778,5.555555555555555,16.666666666666668,16.666666666666668
50,We Don't Talk Anymore,Charlie Puth,2016,joy,0.0,18.181818181818183,9.090909090909092,9.090909090909092,27.272727272727273,9.090909090909092,9.090909090909092,18.181818181818183
51,Into You,Ariana Grande,2016,anticipation,0.0,33.333333333333336,33.333333333333336,0.0,33.333333333333336,0.0,0.0,0.0
52,Gold,Kiiara,2016,trust,7.6923076923076925,15.384615384615385,0.0,7.6923076923076925,15.384615384615385,0.0,15.384615384615385,38.46153846153846
53,Exchange,Bryson Tiller,2016,anticipation,0.0,30.0,10.0,0.0,20.0,0.0,10.0,30.0
54,679,Fetty Wap,2016,joy,12.5,12.5,0.0,0.0,50.0,0.0,12.5,12.5
55,Oui,Jeremih,2016,joy,14.285714285714286,28.571428571428573,0.0,0.0,42.857142857142854,0.0,14.285714285714286,0.0
56,Hands to Myself,Selena Gomez,2016,joy,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
57,2 Phones,Kevin Gates,2016,trust,10.0,20.0,0.0,0.0,20.0,0.0,20.0,30.0
58,Starboy,The Weeknd,2016,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336
59,For Free,DJ Khaled,2016,anger,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0
60,Never Be Like You,Flume,2016,fear,15.384615384615385,0.0,7.6923076923076925,23.076923076923077,15.384615384615385,23.076923076923077,0.0,15.384615384615385
61,In the Night,The Weeknd,2016,joy,0.0,20.0,0.0,20.0,40.0,20.0,0.0,0.0
62,Me Too,Meghan Trainor,2016,joy,0.0,25.0,0.0,12.5,37.5,0.0,0.0,25.0
63,Ex's & Oh's,Elle King,2016,disgust,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
64,Die a Happy Man,Thomas Rhett,2016,joy,5.882352941176471,17.647058823529413,0.0,11.764705882352942,23.529411764705884,17.647058823529413,0.0,23.529411764705884
65,White Iverson,Post Malone,2016,anticipation,13.636363636363637,22.727272727272727,4.545454545454546,4.545454545454546,18.181818181818183,4.545454545454546,9.090909090909092,22.727272727272727
66,Close,Nick Jonas,2016,trust,25.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0
67,Unsteady,X Ambassadors,2016,anger,0,0,0,0,0,0,0,0
68,Sucker for Pain,Lil Wayne Wiz Khalifa,2016,fear,23.076923076923077,7.6923076923076925,7.6923076923076925,30.76923076923077,0.0,30.76923076923077,0.0,0.0
69,Down in the DM,Yo Gotti,2016,anger,42.857142857142854,0.0,28.571428571428573,14.285714285714286,0.0,14.285714285714286,0.0,0.0
70,Luv,Tory Lanez,2016,joy,20.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0
71,Sorry,Beyoncé,2016,anticipation,8.695652173913043,17.391304347826086,13.043478260869565,13.043478260869565,13.043478260869565,8.695652173913043,13.043478260869565,13.043478260869565
72,Can't Feel My Face,The Weeknd,2016,anger,18.181818181818183,9.090909090909092,18.181818181818183,18.181818181818183,9.090909090909092,18.181818181818183,9.090909090909092,0.0
73,Hymn for the Weekend,Coldplay,2016,joy,0.0,25.0,0.0,12.5,37.5,0.0,12.5,12.5
74,Say It,Tory Lanez,2016,joy,0.0,25.0,0.0,0.0,50.0,0.0,12.5,12.5
75,Antidote,Travis Scott,2016,trust,0.0,22.22222222222222,0.0,0.0,11.11111111111111,22.22222222222222,11.11111111111111,33.333333333333336
76,Lost Boy,Ruth B,2016,anticipation,0.0,28.571428571428573,0.0,0.0,28.571428571428573,28.571428571428573,0.0,14.285714285714286
77,Side to Side,Ariana Grande,2016,disgust,11.11111111111111,11.11111111111111,22.22222222222222,11.11111111111111,11.11111111111111,11.11111111111111,22.22222222222222,0.0
