Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
1,Wooly Bully,Sam the Sham,1965,anger,46.875,0,0,46.875,0,0,3.125,0,3.125,0
2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,joy,0,9.090909091,9.090909091,9.090909091,63.63636364,0,0,0,9.090909091,0
3,(I Can't Get No) Satisfaction,The Rolling Stones,1965,joy,12.5,12.5,0,12.5,25,12.5,0,12.5,12.5,0
4,You Were on My Mind,We Five,1965,fear,6.666666667,6.666666667,6.666666667,26.66666667,6.666666667,26.66666667,6.666666667,6.666666667,6.666666667,0
5,You've Lost That Lovin' Feelin',The Righteous Brothers,1965,joy,10.6557377,10.6557377,10.6557377,10.6557377,18.85245902,15.57377049,11.47540984,10.6557377,0.819672131,0
6,Downtown,Petula Clark,1965,anticipation,6.666666667,26.66666667,6.666666667,6.666666667,20,13.33333333,0,13.33333333,6.666666667,0
7,Help!,The Beatles,1965,trust,10.25641026,10.25641026,7.692307692,12.82051282,10.25641026,10.25641026,12.82051282,23.07692308,2.564102564,0
8,Can't You Hear My Heartbeat,Herman's Hermits,1965,joy,3.333333333,13.33333333,0,3.333333333,70,0,0,6.666666667,3.333333333,0
9,Crying in the Chapel,Elvis Presley,1965,joy,0,23.91304348,2.173913043,6.52173913,28.26086957,6.52173913,6.52173913,23.91304348,2.173913043,0
10,My Girl,The Temptations,1965,anger,22.72727273,9.090909091,0,0,22.72727273,9.090909091,22.72727273,9.090909091,4.545454545,0
11,Help Me Rhonda,The Beach Boys,1965,anticipation,0,40,0,0,0,40,0,0,20,0
12,King of the Road,Roger Miller,1965,joy,0,18.18181818,0,0,27.27272727,18.18181818,0,27.27272727,9.090909091,0
13,The Birds and the Bees,Jewel Akens,1965,anger,38.46153846,23.07692308,0,0,7.692307692,0,7.692307692,15.38461538,7.692307692,0
14,Hold Me Thrill Me Kiss Me,Mel Carter,1965,joy,0,25,0,3.125,40.625,3.125,25,0,3.125,0
15,Shotgun,Junior Walker,1965,joy,8,24,0,4,28,4,4,24,4,0
16,I Got You Babe,Sonny,1965,anticipation,0,35.71428571,0,0,32.14285714,0,14.28571429,14.28571429,3.571428571,0
17,This Diamond Ring,Gary Lewis,1965,joy,2.777777778,11.11111111,0,0,63.88888889,0,5.555555556,13.88888889,2.777777778,0
18,The 'In' Crowd,Ramsey Lewis Trio,1965,trust,5.263157895,21.05263158,2.631578947,5.263157895,15.78947368,7.894736842,7.894736842,31.57894737,2.631578947,0
19,Mrs. Brown You've Got a Lovely Daughter,Herman's Hermits,1965,joy,1.408450704,16.90140845,1.408450704,4.225352113,26.76056338,16.90140845,14.08450704,16.90140845,1.408450704,0
20,Stop! In the Name of Love,The Supremes,1965,joy,3.333333333,18.33333333,0,5,28.33333333,8.333333333,26.66666667,8.333333333,1.666666667,0
21,Unchained Melody,The Righteous Brothers,1965,anticipation,6.25,34.375,6.25,6.25,31.25,6.25,0,6.25,3.125,0
22,Silhouettes,Herman's Hermits,1965,sadness,11.76470588,11.76470588,0,11.76470588,11.76470588,17.64705882,17.64705882,11.76470588,5.882352941,0
23,I'll Never Find Another You,The Seekers,1965,anticipation,12.90322581,16.12903226,9.677419355,12.90322581,12.90322581,9.677419355,12.90322581,9.677419355,3.225806452,0
24,Cara Mia,Jay,1965,anticipation,0,37.5,0,18.75,18.75,18.75,0,0,6.25,0
25,Mr. Tambourine Man,The Byrds,1965,anticipation,6.25,31.25,6.25,12.5,12.5,6.25,12.5,6.25,6.25,0
26,Cast Your Fate to the Wind,Sounds Orchestral,1965,anticipation,0,50,0,0,16.66666667,0,0,16.66666667,16.66666667,0
27,Yes I'm Ready,Barbara Mason,1965,anticipation,0,36.36363636,0,0,33.33333333,18.18181818,6.060606061,3.03030303,3.03030303,0
28,What's New Pussycat?,Tom Jones,1965,joy,0,14.28571429,0,0,50,0,14.28571429,14.28571429,7.142857143,0
29,Eve of Destruction,Barry McGuire,1965,anger,19.67213115,4.918032787,9.836065574,14.75409836,13.1147541,16.39344262,6.557377049,13.1147541,1.639344262,0
30,Hang On Sloopy,The McCoys,1965,joy,5.555555556,16.66666667,5.555555556,5.555555556,22.22222222,11.11111111,11.11111111,16.66666667,5.555555556,0
31,Ticket to Ride,The Beatles,1965,joy,13.33333333,0,13.33333333,13.33333333,40,13.33333333,0,0,6.666666667,0
32,Red Roses for a Blue Lady,Bert Kaempfert,1965,anticipation,5.405405405,21.62162162,0,5.405405405,21.62162162,16.21621622,10.81081081,16.21621622,2.702702703,0
33,Papa's Got a Brand New Bag,James Brown,1965,anger,27.5,22.5,7.5,10,7.5,2.5,5,15,2.5,0
34,Game of Love,Wayne Fontana,1965,joy,0,14,0,0,84,0,0,0,2,0
35,The Name Game,Shirley Ellis,1965,anticipation,17.64705882,23.52941176,5.882352941,11.76470588,5.882352941,5.882352941,11.76470588,11.76470588,5.882352941,0
36,I Know a Place,Petula Clark,1965,anticipation,6.666666667,20,0,0,20,13.33333333,13.33333333,20,6.666666667,0
37,Back in My Arms Again,The Supremes,1965,joy,2.173913043,19.56521739,6.52173913,4.347826087,34.7826087,8.695652174,6.52173913,15.2173913,2.173913043,0
38,Baby I'm Yours,Barbara Lewis,1965,anger,20,20,0,6.666666667,13.33333333,20,6.666666667,6.666666667,6.666666667,0
39,The Jolly Green Giant,The Kingsmen,1965,joy,11.11111111,5.555555556,5.555555556,16.66666667,22.22222222,11.11111111,11.11111111,11.11111111,5.555555556,0
