Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
1,Wooly Bully,Sam the Sham,1965,surprise,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336,0.0
3,(I Can't Get No) Satisfaction,The Rolling Stones,1965,joy,14.285714285714286,14.285714285714286,0.0,0.0,28.571428571428573,14.285714285714286,0.0,14.285714285714286,14.285714285714286,0.0
4,You Were on My Mind,We Five,1965,fear,7.6923076923076925,7.6923076923076925,7.6923076923076925,23.076923076923077,7.6923076923076925,23.076923076923077,7.6923076923076925,7.6923076923076925,7.6923076923076925,0.0
5,You've Lost That Lovin' Feelin',The Righteous Brothers,1965,joy,0.0,0.0,0.0,0.0,83.33333333333333,0.0,0.0,0.0,16.666666666666668,0.0
6,Downtown,Petula Clark,1965,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
7,Help!,The Beatles,1965,fear,10.0,10.0,0.0,20.0,10.0,10.0,10.0,20.0,10.0,0.0
8,Can't You Hear My Heartbeat,Herman's Hermits,1965,joy,0.0,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,16.666666666666668,0.0
9,Crying in the Chapel,Elvis Presley,1965,joy,0.0,16.666666666666668,16.666666666666668,0.0,25.0,8.333333333333334,0.0,25.0,8.333333333333334,0.0
10,My Girl,The Temptations,1965,joy,12.5,12.5,0.0,0.0,25.0,12.5,12.5,12.5,12.5,0.0
11,Help Me Rhonda,The Beach Boys,1965,anticipation,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
12,King of the Road,Roger Miller,1965,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
13,The Birds and the Bees,Jewel Akens,1965,anticipation,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0
14,Hold Me Thrill Me Kiss Me,Mel Carter,1965,fear,0.0,12.5,0.0,25.0,25.0,12.5,12.5,0.0,12.5,0.0
15,Shotgun,Junior Walker,1965,anticipation,5.882352941176471,29.41176470588235,0.0,0.0,29.41176470588235,0.0,11.764705882352942,17.647058823529413,5.882352941176471,0.0
16,I Got You Babe,Sonny,1965,anticipation,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0
17,This Diamond Ring,Gary Lewis,1965,joy,12.5,0.0,0.0,0.0,50.0,0.0,0.0,25.0,12.5,0.0
18,The 'In' Crowd,Ramsey Lewis Trio,1965,anticipation,0.0,30.0,0.0,0.0,20.0,0.0,10.0,30.0,10.0,0.0
19,Mrs. Brown You've Got a Lovely Daughter,Herman's Hermits,1965,anticipation,0.0,22.22222222222222,0.0,0.0,22.22222222222222,11.11111111111111,16.666666666666668,22.22222222222222,5.555555555555555,0.0
