Year,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral
1965,5.756647007962796,15.094420199683361,5.409160284160285,4.455423742923743,24.421801517196265,6.558487345987344,7.142120744752324,12.081407700486645,19.08053145684724
1966,5.0933572808872025,15.773523604904666,4.8661637533681175,6.201310202179948,20.310566595356423,9.011633658189785,8.00238479828981,15.008191089707791,15.732869017116244
1967,3.7839507491913906,15.742018758952794,4.296678761919404,6.254564739413223,23.68264896785395,7.134401793492701,7.311518282997784,14.733151495629214,17.061066450549507
1968,5.611072850718708,12.643375448747591,5.06816579445631,7.239757374811395,21.518286801900242,7.3236431602277925,7.656027196093222,14.842740542770548,18.096930830274164
1969,5.98653254777381,12.76328221762456,5.9421854286844225,7.165698742403921,24.14579507374982,6.804507287208125,7.841846265260773,14.530435033140023,14.819717404154545
1970,6.863181681168622,14.119125244044474,5.025480639520214,8.367774917758092,21.973622980794207,8.968221402593455,6.650219068707425,13.442599386599252,14.589774678814248
1971,5.633449025862865,15.121422232710097,5.516765131510987,7.097938979275225,21.37437322759178,7.911840224853926,7.110724574430485,14.525655408192918,15.707831195571709
1972,6.123312961548253,13.279205645933587,5.349816220680191,8.306134310270341,21.43715438292644,8.875356159363513,5.643326495808112,16.02937299628476,14.956320827184793
1973,4.776885924229071,17.466668392064868,3.9413565243239206,7.804633537637266,19.82093310768991,7.471039737672705,7.912859466422996,14.447031004946274,16.358592305012976
1974,5.56004396466718,14.784636348901772,4.477278505613063,7.627863495789829,22.956680272302176,7.675539849417158,7.1393581213009245,14.863778704423748,14.914820737584128
1975,5.394702814262744,15.18311572135734,3.776240494269811,6.0071825275669966,23.678201401316965,6.884192006017051,8.109941923559475,14.547394982845468,16.41902812880414
1976,5.923598750431598,16.757768029990427,4.37800622274466,5.942764337963978,22.509756741827207,6.279426530296275,8.175526903065123,12.393080855147183,17.64007162853353
1977,5.45311339776087,14.136229688518155,4.686774925236831,5.8079008903671365,22.902054188120694,9.252939905129429,7.6695734924805175,14.673486757445138,15.417926754941206
1978,5.442506960927676,13.857084601247003,3.8558369081898496,6.815472089007894,23.503502317517654,9.017123422897079,8.185892536704555,15.143900637583505,14.178680525924774
1979,6.451259645067692,15.854280802616712,3.8651379021735046,6.5333714659953035,23.675266859903076,8.44396920159304,6.704073291689389,13.650858652871031,14.821782178090231
1980,6.3224961270239906,14.01963353124344,4.00092386973192,7.444226602430937,22.143078855269255,8.7807317639361,5.78061627914569,13.681750744095945,17.826542227122722
1981,7.525789553418787,16.10751267614013,4.959778700866043,8.461387345077185,19.91800353208553,8.175096755756288,7.076613720998744,13.499590872585523,14.276226843071768
1982,6.7465105728698,15.559949785548072,4.012378927723992,9.252999490372886,21.718380443039536,9.158485816270417,7.734133953337357,12.492577216682582,13.324583794155332
1983,7.231168883411123,17.150150218449305,3.3439286943368005,7.242355788537419,20.495183928315555,5.467693450149589,8.164737279100725,16.043183022965362,14.861598734734116
1984,5.925151890593067,15.500763529556096,4.392826046502517,9.645191573132749,19.699194712236505,8.712162978919944,8.536785535585844,13.235081417550456,14.352842315922809
1985,6.193542362248536,14.947889170648466,3.3907904314205166,9.19035730134944,21.727841487743316,8.18712679116828,7.570577753723653,14.44692544164617,14.344949260051617
1986,8.333936479756911,13.780196858525029,3.7622403868920897,10.701435793308853,19.66544267565939,9.220718776407631,5.973674012605899,12.573507654196506,15.988847362647668
1987,6.888301389155176,15.483760637881156,3.5919769882538377,8.4669278311757,20.476030260987645,7.167494373177242,6.489795574966809,16.569326365335108,14.866386579067312
1988,6.2489507233392665,15.651529867621196,4.241476547188619,7.832507809527934,23.338350895750278,6.794859389836171,9.131232462068374,13.821296576660353,12.939795728007805
1989,6.673445602017031,16.010517260517254,4.319019274376417,6.216863493649207,24.983245920745915,5.414451619808761,7.234491698777413,14.971427382141668,14.176537747966314
1990,7.8809575357562975,16.167858659228624,5.386077927060899,8.629199936630279,20.638326246337083,8.5752259866037,5.378506374946003,13.88097573221412,13.462871601222991
1991,5.789133955426524,16.039043437069758,2.6026772089852583,6.5372505389920255,24.84944676639724,6.299731527788802,6.689051206504766,16.629608592302088,14.564056766533547
1992,5.280417955162199,14.916950316662586,5.516789433924983,7.595113071072148,23.508383890193354,8.192282085632465,6.4707427447516945,15.23577095680676,13.283549545793795
1993,8.536538693331076,15.525448007739971,4.118221940953904,8.324841553216633,20.739868207735736,6.566912172620963,7.250481451743294,15.727776291736324,13.20991168092209
1994,6.44120394998878,12.909914861540244,4.818641484934054,9.420567229468157,22.879676717331524,8.253068001829611,5.442613260492516,14.465074936243665,15.369239558171449
1995,8.742141830701865,14.335471055917955,6.453103194759203,8.871509685069716,20.819664640111533,8.439881694037703,5.820337990855555,11.989371893829091,14.528518014717372
1996,7.223012246997813,13.2681512084881,6.531857761244251,8.864514421820871,20.13179652705256,8.316077717748566,6.887072423655477,15.325631607695348,13.451886085296998
1997,8.50794693254831,12.752721026408912,7.1883064052979675,8.123183825937572,20.361030989301856,7.678550441667545,6.727996550712195,15.314916271181032,13.345347556944612
1998,10.554641533665631,12.689045932380836,7.958278760507525,10.044929609471607,19.442525459389767,8.431448745874302,5.45287740941698,11.360128034608785,14.066124514684546
1999,7.790711716019628,15.049886261243774,5.295838890311564,9.106655888170897,20.783574102769144,9.412717419232427,5.972575386927924,13.799299727483199,12.78874060784142
2000,8.620608188680945,13.212484428196506,4.603233591314086,8.188153388579083,21.39980419477323,7.947489885415579,5.883493037750003,13.936176014388089,16.208557270902467
2001,9.18775777586856,15.246932503378526,5.749378001188473,8.70602610174558,20.490851358225836,7.806970113873802,5.61107852397225,12.730441744395506,14.470563877351463
2002,7.943429648267109,15.061845971366093,7.132859825932581,7.524838066130635,18.969173568089975,7.46756796694877,7.122542687790365,16.026215812051724,12.751526453422736
2003,8.373489908784029,13.692865893136785,7.948205062910948,9.354752334009302,20.49406089696338,8.346930417363852,6.676355013235819,12.748985242483691,12.36435523111219
2004,11.10121174648029,12.647419978430209,6.44584766611621,10.256861080806095,16.444946226691748,10.20388072782574,5.669741160374152,10.368783500529025,16.86130791274653
2005,9.410323089467475,15.235035925321132,6.047866374069583,7.4876752942706615,17.63402145487707,6.742037654693628,6.9097271316522635,13.671907118431182,16.861405957217
2006,8.947804075009955,13.921532389179449,5.956918326771265,7.9608521380580175,16.271664038575796,8.271383273589153,6.367414611532257,15.914009193420949,16.388421953863123
2007,10.132019703087476,13.348430452042981,6.802494727494726,9.231088281567821,17.224503473224708,8.461005661005663,6.262305526244143,14.809794496495265,13.728357678837218
2008,8.414471650453612,14.661576037070724,6.056163540024085,7.699042504436229,18.724828589247757,7.69745473443414,6.74533577212336,14.420435117222706,15.580692054987384
2009,8.222925842273666,13.281069570526094,5.915200445689575,9.199556222762745,17.71391110700893,10.018260652391085,6.071615962539876,13.804618310433524,15.772841886374492
2010,8.280441741407213,13.521896535547427,7.073743456032455,8.504009839975312,20.014493147517438,7.7933244327425895,5.921377588736921,13.42767938228296,15.463033875757665
2011,9.258393545738747,13.517318401412835,6.8127027770990605,9.381429312002064,17.85128019125697,8.204862517943013,7.293011950210094,14.566641910720852,13.114359393616356
2012,8.469571480291297,11.728858796002763,6.5820825803023935,10.111172934392751,18.844169564525597,9.573821397041215,6.320117073329146,12.429087776688396,15.94111839742644
2013,8.943011328645332,12.731302882965286,6.241944428980031,7.599312205906297,18.919104218421083,8.398238865537628,7.581881561252945,14.405637688577851,15.179566819713541
2014,10.187043703286585,11.942429669665868,6.711097601583661,9.573698703316222,17.38061722931586,9.395546356796528,5.953045951244889,13.116259258301882,15.740261526488487
2015,9.594262879363496,13.925947251063352,6.2720342308190595,8.793736956198256,16.749552240844807,8.342309380505974,5.642579904615508,14.304212041828139,16.375365114761397
2016,8.645127743773253,15.378871777517281,6.084200609045812,8.222824425030304,18.817301751396172,7.208319648760827,7.0506171288292,13.333944123185601,15.258792792461513
2017,8.6151150831365,12.84026813750545,7.302415705461133,9.544855594643927,16.879641208359534,9.334587316240505,7.005621091874011,13.2819594280626,15.195536434716315
2018,12.72070197363106,11.122167527399641,8.410926830888522,12.324802178184262,14.75083874280555,9.121150305098828,5.254603781322018,12.737910307980092,13.556898352690009
